name,decimallongitude,decimallatitude,city,country,address,source,type,geocoding.precision.m,geocoding.issue,geocoding.source,inside.ptoected.area.WDPAID
"Universite du Quebec a Rimouski, Departement de biologie",-68.5121318,48.4525603,Rimouski,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,NA
L Ecole d Agriculture,-68.4610349,48.5097895,Rimouski,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,NA
"Friday Harbor Laboratories, University of Washington",-123.0140599,48.5454083,Friday Harbor,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,312353
Douglas Ecological Consultants,-123.364718,48.4257327,Victoria,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,NA
"Boys Grammar School, Victoria College",-2.0958252,49.1858348,Saint Helier,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,NA
Museum and Art Gallery of La Societe Jersiaise,-2.106939,49.1826521,Saint Helier,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,NA
Jersey College for Girls,-2.0931547,49.1866536,Saint Helier,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,NA
"Malaspina University, Biology Department",-123.9657502,49.1574509,Nanaimo,NA,900 Fifth Street,indexherbariorum,Herbarium,10,NA,automatic,NA
"Island Museum, Candie Gardens",-2.540364,49.458973,Saint Peter Port,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,NA
"La Societe Guernesiaise, Priaulx Library",-2.541927,49.459121,Saint Peter Port,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,NA
Societe Nationale des Sciences Naturelles et Mathematiques de Cherbourg,-1.6306905,49.6427847,Cherbourg,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,NA
Alderney Society and Museum,-2.2064589,49.7139599,Alderney,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,NA
Tresco Abbey,-6.3329637,49.9465289,Tresco,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,4877
"Brighton Public Library, Borough of Brighton",-73.9665406,40.5762921,Brighton,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,NA
Sherkin Island Marine Station,-9.4175617,51.4660543,Cork,NA,NA,indexherbariorum,Herbarium,10,NA,automatic,555557140
